Title,Company,Location,DatePosted,Keywords,DetailsUrl,OrganizationImage
PHP Symfony Developer,Isabel Group,Berchem,15/12,"PHP, Symfony, Docker, React",https://www.ictjob.be/en/job/isabel-group-php-symfony-developer/9-170473,https://www.ictjob.be/files/logo/384/isabel-1535459457882-en.png
PHP Symfony Developer,Le TEC,Namur,15/12,"Symfony, PHP, Quality Management",https://www.ictjob.be/en/job/lead-technique-php-symfony-employee/3-231961,https://www.ictjob.be/files/logo/Soci_t__R_gionale_Wallonne_Transport_SA_728615_1506428092_5568.png
Lead Technique PHP / Symfony (employee),Vivid Resourcing,Liège,14/12,PHP Symfony Laravel Agency Liege,https://www.ictjob.be/en/job/vivid-resourcing-php-developer/5-214563,https://www.ictjob.be/files/logo/Vivid_Resourcing_1400500711_1857.png
Lead Technique PHP / Symfony (employee),Vivid Resourcing,Brussels,13/12,"Webmaster, Web Manager Green Energy",https://www.ictjob.be/en/job/vivid-resourcing-webmaster-web-manager/2-259231,https://www.ictjob.be/files/logo/Vivid_Resourcing_1400500711_1857.png
PHP Developer,Vivid Resourcing,"Grimbergen, Mechelen, Ghent, Sint-Niklaas",12/12,Fullstack Developer Gaming,https://www.ictjob.be/en/job/vivid-resourcing-fullstack-dev-opportunity/1-275674,https://www.ictjob.be/files/logo/Vivid_Resourcing_1400500711_1857.png
Fullstack Opportunity (Data Product Scale-up),Vivid Resourcing,"Brugge, Waregem, Ieper, Roeselare, Ghent",15/12,".NET, React, C#",https://www.ictjob.be/en/job/vivid-resourcing-fullstack-opportunity-data-product-scale/2-260552,https://www.ictjob.be/files/logo/Vivid_Resourcing_1400500711_1857.png
Fullstack Opportunity (Data Product Scale-up),CTG,"Brussels, Diegem, Antwerp",13/12,.NET C# Azure SQL,https://www.ictjob.be/en/job/ctg-net-developer/27-141585,https://www.ictjob.be/files/logo/290/ctg-1617098840101-en.png
.NET Developer,IT-Planet,"Ghent, Dunkerque",12/12,"Lead, .NET, C#, Agile, CI/CD, Azure",https://www.ictjob.be/en/job/it-planet-net-developer/1-275299,https://www.ictjob.be/files/logo/34/it-planet-1637827737195-nl.png
.NET Developer,ITS Group Benelux,Brussels,12/12,"React, Angular, Python, Stack C#",https://www.ictjob.be/en/job/group-benelux-fullstack-developer/1-275293,https://www.ictjob.be/files/logo/ITS_Group_1317823283_1329.png
.NET Developer,Cossel,"Walloon Brabant, Brussels",11/12,.NET C#,https://www.ictjob.be/en/job/cossel-developpeur-net/1-274728,https://www.ictjob.be/files/logo/9288/cossel-1669886609491-fr.png